"Threshold","P_value","Log10_p_value","Significant_05","Significant_01"
6.12244897959184,2,0.301029995663981,FALSE,FALSE
8.16326530612245,0.00295352308599273,-2.52965963016254,TRUE,TRUE
10.2040816326531,0.0574581941672744,-1.2406480274132,FALSE,FALSE
12.2448979591837,0.452615180554202,-0.344270884052611,FALSE,FALSE
14.2857142857143,0.00865587366417842,-2.06268909088706,TRUE,TRUE
16.3265306122449,3.5591677733926e-06,-5.44865153957658,TRUE,TRUE
18.3673469387755,0,-100,TRUE,TRUE
20.4081632653061,0,-100,TRUE,TRUE
22.4489795918367,0,-100,TRUE,TRUE
24.4897959183673,0,-100,TRUE,TRUE
26.530612244898,0,-100,TRUE,TRUE
28.5714285714286,0,-100,TRUE,TRUE
30.6122448979592,0,-100,TRUE,TRUE
32.6530612244898,0,-100,TRUE,TRUE
34.6938775510204,0,-100,TRUE,TRUE
36.734693877551,0,-100,TRUE,TRUE
38.7755102040816,0,-100,TRUE,TRUE
40.8163265306122,0,-100,TRUE,TRUE
42.8571428571429,0,-100,TRUE,TRUE
44.8979591836735,0,-100,TRUE,TRUE
46.9387755102041,0,-100,TRUE,TRUE
48.9795918367347,0,-100,TRUE,TRUE
51.0204081632653,0,-100,TRUE,TRUE
53.0612244897959,0,-100,TRUE,TRUE
55.1020408163265,0,-100,TRUE,TRUE
57.1428571428571,0,-100,TRUE,TRUE
59.1836734693878,0,-100,TRUE,TRUE
61.2244897959184,0,-100,TRUE,TRUE
63.265306122449,0,-100,TRUE,TRUE
65.3061224489796,0,-100,TRUE,TRUE
67.3469387755102,0,-100,TRUE,TRUE
69.3877551020408,0,-100,TRUE,TRUE
71.4285714285714,0,-100,TRUE,TRUE
73.469387755102,0,-100,TRUE,TRUE
75.5102040816327,0,-100,TRUE,TRUE
77.5510204081633,0,-100,TRUE,TRUE
79.5918367346939,0,-100,TRUE,TRUE
81.6326530612245,0,-100,TRUE,TRUE
83.6734693877551,0,-100,TRUE,TRUE
85.7142857142857,0,-100,TRUE,TRUE
87.7551020408163,0,-100,TRUE,TRUE
89.7959183673469,0,-100,TRUE,TRUE
91.8367346938776,0,-100,TRUE,TRUE
93.8775510204082,0,-100,TRUE,TRUE
95.9183673469388,0,-100,TRUE,TRUE
97.9591836734694,0,-100,TRUE,TRUE
100,0,-100,TRUE,TRUE
